Grape,Winery,Appelation,State,Name,Year,Price,Score,Cases
Sauvignon Blanc,White Oak,Russian River Valley,California,Sauvignon Blanc,2008,16,87,2000
Sauvignon Blanc,Joseph Phelps,St. Helena,California,Sauvignon Blanc,2008,32,89,2000
Sauvignon Blanc,Sbragia Family,Dry Creek Valley,California,Home Ranch,2009,20,89,1698
Sauvignon Blanc,Beckmen,Santa Ynez Valley,California,Sauvignon Blanc,2009,16,89,1500
Sauvignon Blanc,Peter Michael,Knights Valley,California,LApres-Midi,2008,48,91,1260
Sauvignon Blanc,Handley,Dry Creek Valley,California,Handley Vineyard,2008,15,87,1214
Sauvignon Blanc,Azur,Rutherford,California,Sauvignon Blanc,2009,24,87,1000
Sauvignon Blanc,Capture,California,California,Tradition,2009,30,91,875
Sauvignon Blanc,Imagery,Sonoma Valley,California,Wow Oui,2009,27,87,874
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Cuvee Natalie,2009,18,87,857
Sauvignon Blanc,Brander,Santa Ynez Valley,California,au Naturel,2009,32,87,759
Sauvignon Blanc,Selene,Carneros,California,Hyde Vineyards,2009,27,89,750
Sauvignon Blanc,Round Pond Estate,Rutherford,California,Sauvignon Blanc,2009,26,90,714
Sauvignon Blanc,Grey Stack,Bennett Valley,California,Rosemarys Block Dry Stack Vineyard,2009,28,90,700
Sauvignon Blanc,Langtry,Guenoc Valley,California,Lillie Vineyard,2008,20,87,659
Sauvignon Blanc,Sbragia Family,Dry Creek Valley,California,Home Ranch,2006,20,90,620
Sauvignon Blanc,Sbragia Family,Dry Creek Valley,California,Schmidt Ranch,2009,24,88,602
Sauvignon Blanc,Kenzo,Napa Valley,California,Asatsuyu,2008,60,89,600
Sauvignon Blanc,David Arthur,Napa Valley,California,Sauvignon Blanc,2008,25,86,566
Sauvignon Blanc,Koehler,Santa Ynez Valley,California,Sauvignon Blanc,2008,12,87,505
Sauvignon Blanc,Altamura,Napa Valley,California,Sauvignon Blanc,2007,48,92,500
Sauvignon Blanc,Beltane Ranch,Sonoma Valley,California,Sauvignon Blanc,2009,23,89,413
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Mesa Verde Vineyard,2009,22,89,380
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Cuvee Nicolas,2009,25,91,377
Sauvignon Blanc,Jericho Canyon,Napa Valley,California,Sauvignon Blanc,2009,25,89,370
Sauvignon Blanc,Capture,Sonoma County,California,Les Pionniers,2009,36,92,360
Sauvignon Blanc,John Anthony,Carneros,California,Church Vineyard,2009,28,91,354
Sauvignon Blanc,Cimarone,Happy Canyon of Santa Barbara,California,3CV Grassini Family Vineyards,2009,21,88,270
Sauvignon Blanc,Brander,Santa Ynez Valley,California,Purisma Mountain,2009,25,88,260
Sauvignon Blanc,Madrigal,Napa Valley,California,Estate,2009,25,89,200
Syrah,Zaca Mesa,Santa Ynez Valley,California,Syrah,2007,24,87,7651
Syrah,Montes,Paso Robles,California,Star Angel ,2007,35,87,3000
Syrah,Fess Parker,Santa Barbara County,California,Syrah,2008,20,88,2831
Syrah,Ramey,Sonoma Coast,California,Syrah,2008,38,92,1750
Syrah,Stolpman,Santa Ynez Valley,California,Syrah,2008,30,87,1500
Syrah,Tensley,Santa Barbara County,California,Colson Canyon Vineyard,2009,38,90,1495
Syrah,Sine Qua Non,California,California,Labels,2007,135,92,1421
Syrah,Krupp Brothers,Napa Valley,California,Black Bart Stagecoach Vineyard,2005,52,91,1219
Syrah,Rosenblum,Yolo County,California,Rominger Vineyard,2005,25,91,1125
Syrah,Zaca Mesa,Santa Ynez Valley,California,Mesa Reserve,2007,42,93,992
Syrah,Red Lava,Red Hills Lake County,California,Syrah,2007,22,89,977
Syrah,Red Car,Sonoma County,California,Syrah,2008,45,88,961
Syrah,Stolpman,Santa Ynez Valley,California,Originals,2008,38,88,950
Syrah,Ancient Peaks,Paso Robles,California,Syrah,2007,16,87,869
Syrah,Rosenblum,Solano County,California,England-Shaw,2007,35,89,735
Syrah,Eberle,Paso Robles,California,Rose Steinbeck Vineyard,2009,17,88,705
Syrah,Ojai,California,California,Roll Ranch Vineyard,2004,45,90,700
Syrah,Joseph Phelps,Napa Valley,California,Syrah,2008,50,90,600
Syrah,Pride,Sonoma County,California,Syrah,2008,60,88,575
Syrah,J. Lohr,Paso Robles,California,Gesture Limited Release,2008,30,87,514
Syrah,Rosenblum,Sonoma County,California,Kick Ranch Reserve,2007,45,87,496
Syrah,Rosenblum,Lake County,California,Snows Lake Vineyard,2007,25,88,486
Syrah,Fleming Jenkins,Livermore Valley,California,Madden Ranch,2007,40,89,456
Syrah,Rosenblum,Lodi,California,Abba Vineyard,2007,25,88,450
Syrah,Sine Qua Non,Sta. Rita Hills,California,A Shot in the Dark Eleven Confessions Vineyard,2006,200,98,442
Syrah,Four Vines,Amador County,California,Bailey Vineyard,2005,38,93,440
Syrah,Herman Story,Santa Ynez Valley,California,Larner Vinyard,2005,28,92,432
Syrah,DuMOL,Russian River Valley,California,Eddies Patch,2007,76,92,420
Syrah,Red Car,California,California,The Flight,2008,55,90,394
Syrah,Ampelos,Santa Barbara County,California,Rose,2009,18,88,320
Syrah,Kosta Browne,Russian River Valley,California,Amber Ridge Vineyard,2004,45,90,320
Syrah,Keller,Sonoma Coast,California,La Cruz Vineyard,2007,40,88,308
Syrah,Carlisle,Russian River Valley,California,Papas Block,2007,43,98,307
Syrah,Martinelli,Russian River Valley,California,Zio Tony Ranch Gianna Marie,2006,75,93,305
Syrah,Chalk Hill,Chalk Hill,California,Syrah,2007,60,94,304
Syrah,Duchamp,Dry Creek Valley,California,Cuvee Trouvee,2006,38,93,300
Syrah,Ampelos,Sta. Rita Hills,California,Gamma,2005,35,92,264
Syrah,Paloma,Dry Creek Valley,California,Polomita Hamilton Vineyard,2005,45,91,250
Syrah,Carlisle,Bennett Valley,California,Cardiac Hill,2008,45,93,239
Syrah,Ojai,Sta. Rita Hills,California,Melville Vineyards,2006,44,91,238
Syrah,Chateau Potelle,Mount Vedeer,California,VGS,2004,75,90,238
Syrah,Adobe Road,Dry Creek Valley,California,Kemp Vineyard,2007,40,91,235
Syrah,Carlisle,Russian River Valley,California,Papas Block,2008,45,92,212
Syrah,JC Cellars,California,California,Twist of Fate,2008,55,92,206
Syrah,Whitestone,Sonoma Coast,California,Guidici Famili Vineyard,2005,55,90,200
Syrah,McPrice Myers,Arroyo Grande Valley,California,Les Galets,2006,36,93,198
Syrah,Carlisle,Santa Lucia Highlands,California,Rosellas Vineyard,2007,43,94,192
Syrah,Boheme,Sonoma Coast,California,Que Syrah Vineyard,2006,40,87,185
Syrah,Novy,Russian River Valley,California,Christensen Family Vineyard,2008,27,91,177
Syrah,Duchamp,Dry Creek Valley,California,Grand Master,2006,55,93,175
Syrah,Carlisle,Santa Lucia Highlands,California,Rosellas Vineyard,2008,45,88,171
Syrah,Favia,Amador County,California,Quarzo,2008,65,95,154
Syrah,Roar,Santa Lucia Highlands,California,Rosellas Vineyard,2008,40,94,140
Syrah,Herman Story,Santa Barbara County,California,Larner Vinyard,2008,36,93,135
Syrah,Herman Story,Santa Barbara County,California,White Hawk Vineyard,2008,36,93,132
Syrah,Stephen Test,Dry Creek Valley,California,Unti Vineyard,2006,30,91,128
Syrah,Red Car,California,California,Twenty Two,2005,60,93,111
Syrah,Roar,Santa Lucia Highlands,California,Garys Vineyard,2008,40,92,110
Syrah,Jemrose,Bennett Valley,California,Glorias Gem,2006,75,94,48
Zinfandel,Cline,California,California,Zinfandel,2008,12,85,97500
Zinfandel,Klinker Brick,Lodi,California,Old Vine,2006,18,87,20000
Zinfandel,Rodney Strong,Sonoma County,California,Knotty Vines,2007,20,86,18655
Zinfandel,Artezin,Mendocino County,California,Zinfandel,2009,18,87,15000
Zinfandel,Terra dOro,Amador County,California,Zinfandel,2007,18,88,14000
Zinfandel,Dry Creek,Sonoma County,California,Heritage,2007,18,87,13877
Zinfandel,Rosenblum,Paso Robles,California,Appelation Series,2006,18,88,8913
Zinfandel,Sausal,Alexander Valley,California,50  Year Old Vines,2006,19,88,8913
Zinfandel,Sobon Estate,Amador County,California,Old Vines,2008,14,86,6900
Zinfandel,Pedroncelli,Dry Creek Valley,California,Mother Clone,2008,15,88,6000
Zinfandel,Artezin,Amador-Mendocino-Sonoma Counties,California,Zinfandel,2008,18,87,5856
Zinfandel,Dry Creek,Dry Creek Valley,California,Old Vine,2007,28,88,5555
Zinfandel,Rosenblum,Sonoma County,California,Zinfandel,2007,18,87,5297
Zinfandel,Rosenblum,Rockpile,California,Rockpile Road Vineyard,2005,35,91,3558
Zinfandel,Pedroncelli,Dry Creek Valley,California,Bushnell Vineyard,2007,18,86,3500
Zinfandel,Sextant,Paso Robles,California,Wheelhouse,2008,20,88,3300
Zinfandel,Girard,Napa Valley,California,Old Vine,2008,24,88,2850
Zinfandel,Robert Biale,Napa Valley,California,Black Chicken,2008,40,91,2700
Zinfandel,Four Vines,Amador County,California,Maverick,2005,24,91,2529
Zinfandel,Rubicon Estate,Rutherford,California,Edizione Pennino,2007,45,87,2499
Zinfandel,Rosenblum,Contra Costa County,California,Planchon Vineyard,2006,26,86,2425
Zinfandel,Rubicon Estate,Rutherford,California,Edizione Pennino,2008,45,86,2278
Zinfandel,Kunde Estate,Sonoma Valley,California,Century Vines Reserve,2007,35,89,2000
Zinfandel,Rosenblum,Contra Costa County,California,Carlas Reserve,2007,30,88,1909
Zinfandel,Bradford Mountain,Dry Creek Valley,California,Zinfandel,2006,22,87,1900
Zinfandel,St. Francis,Sonoma County,California,Wild Oak Old Vines,2007,38,89,1900
Zinfandel,De Loach,Russian River Valley,California,Zinfandel,2007,20,89,1830
Zinfandel,Rutherford Ranch,Napa Valley,California,Zinfandel,2007,18,87,1552
Zinfandel,Mauritson,Dry Creek Valley,California,Zinfandel,2008,27,87,1457
Zinfandel,Sebastiani,Dry Creek Valley,California,Zinfandel,2008,24,87,1284
Zinfandel,Terra dOro,Amador County,California,SHR Field Blend,2007,30,87,1250
Zinfandel,Neyers,Contra Costa County,California,Pato Vineyard,2008,30,87,1200
Zinfandel,D-Cubed Cellars,Napa Valley,California,Zinfandel,2006,27,89,1100
Zinfandel,Cline,Contra Costa County,California,Bridgehead,2008,25,87,850
Zinfandel,Martinelli,Russian River Valley,California,Giuseppe & Luisa,2007,50,91,825
Zinfandel,Kokomo,Sonoma County,California,Zinfandel,2008,22,88,800
Zinfandel,Rock Wall,Contra Costa County,California,Jesses Vineyard,2008,28,88,765
Zinfandel,Dark Horse,Dry Creek Valley,California,Treborce Vineyard,2008,28,90,750
Zinfandel,Frank Family,Napa Valley,California,Reserve,2007,50,88,748
Zinfandel,C.G. Di Arle,Shenandoah Valley,California,Primitivo Block #4,2007,25,86,719
Zinfandel,Haywood,Sonoma Valley,California,Rocky Terrace Los Chamizal Vineyards,2007,35,89,590
Zinfandel,Cameron Hughes,Lake County,California,Lot 154,2006,13,86,584
Zinfandel,Linne Calodo,Paso Robles,California,Problem Child,2007,48,94,580
Zinfandel,Saucelito Canyon,San Luis Obispo County,California,Backroads,2007,18,89,563
Zinfandel,Sbragia Family,Dry Creek Valley,California,Ginos Vineyard,2007,28,88,544
Zinfandel,Carlisle,Sonoma County,California,Zinfandel,2007,23,92,539
Zinfandel,Robert Biale,Napa Valley,California,Napa Ranches,2008,38,89,525
Zinfandel,Bradford Mountain,Dry Creek Valley,California,Grist Vineyard,2006,33,90,500
Zinfandel,Chiarello Family,Napa Valley,California,Giana,2008,35,93,480
Zinfandel,Dashe,Alexander Valley,California,Todd Brothers Ranch Old Vines,2007,32,88,476
Zinfandel,Dry Creek,Dry Creek Valley,California,Somers Ranch,2007,34,88,469
Zinfandel,Turley,Howell Mountain,California,Cedarman,2008,29,93,400
Zinfandel,Haywood,Sonoma Valley,California,Morning Sun Los Chamizal Vineyards,2007,35,88,399
Zinfandel,Schrader,Napa Valley,California,Vieux-Os Hell Hole Cuvee Old Vine,2006,35,87,375
Zinfandel,Carlisle,Dry Creek Valley,California,Zinfandel,2007,33,95,360
Zinfandel,Dancing Lady,Alexander Valley,California,Old vine Della Costa Family Vineyard,2008,24,87,358
Zinfandel,Hartford Family,Russian River Valley,California,Highwire Vineyard,2008,55,89,340
Zinfandel,Saxon Brown,Sonoma Valley,California,Casa Santinamaria Vineyards,2006,38,89,327
Zinfandel,Carlisle,Russian River Valley,California,Carlisle Vineyard,2008,43,93,325
Zinfandel,Dancing Lady,Alexander Valley,California,Old vine Della Costa Family Vineyard,2007,27,91,321
Zinfandel,Collier Falls,Dry Creek Valley,California,Private Reserve,2006,32,92,300
Zinfandel,Turley,Sonoma Valley,California,Fredericks Vineyard,2008,42,91,300
Zinfandel,Del Carlo,Dry Creek Valley,California,Old Vine Teldeschi Vineyard Home Ranch,2006,32,88,294
Zinfandel,Robert Biale,St. Helena,California,Old Kraft Vineyard,2008,44,93,275
Zinfandel,Robert Biale,St. Helena,California,Varozza Vineyard,2008,44,88,275
Zinfandel,Carlisle,Russian River Valley,California,Montafi Ranch,2007,43,91,258
Zinfandel,Rosenblum,Sonoma Valley,California,Cullinane Reserve,2007,45,87,238
Zinfandel,Carlisle,Sonoma Valley,California,Rossi Ranch,2007,40,93,236
Zinfandel,Valdez,Rockpile,California,Boticelli Vineyards,2007,41,89,233
Zinfandel,D-Cubed Cellars,Napa Valley,California,Primitivo,2006,25,88,226
Zinfandel,Turley,Napa Valley,California,Tofanelli Vineyard,2008,34,93,200
Zinfandel,Carlisle,Sonoma Valley,California,Rossi Ranch,2008,40,90,119
